dates,B6,C2,C1,B4,B5,A1,A2,B1,B2,B3
1985-03-28 15:46:31+00:00,492.6922626978726,412.4705348050164,445.7054293503959,526.0438377119671,511.8133750021003,578.2471526822603,570.4614715069561,543.242861189107,521.7876585534016,512.8100403609417
1985-04-13 15:46:27+00:00,485.8586225818723,,438.4993194667573,523.6555985779404,515.2635305084874,577.3625398986483,564.2859493844826,532.8144392786421,523.4317309850146,514.8177776722036
1990-01-05 15:38:52+00:00,489.7347543086832,439.0174354580218,449.32870692200254,524.0932985047662,530.2257729386056,585.2266763740665,575.8192418592154,534.2414566949769,520.0496382193811,515.5837618045385
1991-02-09 15:36:48+00:00,,,,510.4860556618764,,,567.9202251826773,544.068870851711,527.640314136535,509.2210051979444
1991-04-30 15:38:20+00:00,,,,,,,,,519.8523127183646,513.1725635553184
1993-03-18 15:38:19+00:00,492.5114236980732,428.8363130691487,445.6992027868191,517.1102937337391,523.5203968259844,578.4013929064715,577.3600350222362,537.3557020967863,524.5411324850652,515.7195738953136
1993-04-19 15:38:31+00:00,479.44410714050656,405.0616327280607,436.3348135053191,511.5185982518354,512.1782560202768,569.7003805874556,558.5377702043152,519.9660008249905,507.639231101354,501.873778276374
1993-05-05 15:38:35+00:00,473.5363400473228,406.63168813696814,440.7941937395683,511.6246127124165,508.6103883866981,567.5464866635223,555.597289431633,520.2684021209637,509.5039187763419,507.8491412506966
1995-08-31 15:18:48+00:00,447.3093953115229,414.0107294068328,432.4034526487183,503.80964020772126,490.7485078458746,565.9533758371273,544.3844201673336,527.8304054104582,497.6332468253662,497.6916619799127
1996-02-07 15:21:03+00:00,482.6935633157552,406.9357570114258,432.69718875410456,514.5556163100543,500.932233417122,567.9314640143299,550.5769428539486,534.9861673219455,531.581149152767,508.7531013298922
1996-02-23 15:22:08+00:00,490.4623690068864,414.9538989146668,436.39660218705217,512.9478869854265,507.30995273993705,567.0171544694222,559.9448110252192,531.0409173204068,516.912346787285,510.6759809175934
1996-04-11 15:25:13+00:00,495.14572749259287,426.0875197246048,450.33390402040845,528.691870101757,525.3680576071741,575.6864663577098,566.7579043161122,541.3953162178301,526.8301472558653,523.9373425369708
1996-11-21 15:37:13+00:00,482.80014635800615,435.3792514693988,446.1885498655437,517.734729025033,517.6505145096046,583.2201635638439,562.899920323702,540.2086099498288,516.9649182426983,516.3136064182447
1997-01-24 15:40:15+00:00,470.41405633094223,402.3712229682506,439.5732472398967,498.4656516294585,489.32280079772704,546.8786443339669,532.27912393378,502.2715836311255,498.7206069063142,504.84974048824415
1997-07-03 15:46:12+00:00,474.5418543611983,403.3780990115486,452.0131548925734,497.4385394653246,502.1674616568917,565.3686059977612,543.0715896847558,520.654658891861,509.94823034198527,501.2603181213611
