,dates,satname,B6,C2,C1,B4,B5,A1,A2,B1,B2,B3
0,1985-03-28 15:46:31+00:00,L5,492.0692040969142,411.7695938789381,445.27408108819395,525.3428967858889,511.0122996580109,577.7373774632943,569.8384129059975,542.5419202630288,521.164599952443,512.1869817599832
1,1985-04-13 15:46:27+00:00,L5,469.59434259852026,,427.2394333244366,505.3582835966693,494.35231338703477,564.0554017304512,548.0216694011306,514.5171242973711,507.1674510016625,498.55349768885156
2,1990-01-05 15:38:52+00:00,L5,476.04301228052924,423.61422567634855,439.849808594819,508.69008872309297,512.6221046166934,574.024341987395,562.1274998310613,518.8382469133037,506.35789619122704,501.89201977638453
3,1991-02-09 15:36:48+00:00,L5,,,,504.94996966754474,,,562.9992598543824,538.5327848573794,522.7193488082402,504.3000398696496
4,1991-04-30 15:38:20+00:00,L5,,,,,,,,295.0191053859162,542.8732516302957,536.1935024672496
5,1993-03-18 15:38:19+00:00,L5,485.43476348694077,420.87507033162467,440.7999764868043,509.149050996215,514.4218336973855,572.6113981882722,570.2833748111036,529.3944593592622,517.4644722739326,508.6429136841811
6,1993-04-19 15:38:31+00:00,L5,484.3637140228919,410.5961904707441,439.7406951931242,517.0531559945189,518.5034648690579,573.7255134912255,563.4573770867005,525.500558567674,512.5588379837393,506.7933851587593
7,1993-05-05 15:38:35+00:00,L5,487.85437483923346,422.73947727786765,450.70667936473717,527.732401853316,527.0192902620117,579.2612424023582,569.9153242235436,536.3761912618633,523.8219535682525,522.1671760426073
8,1995-08-31 15:18:48+00:00,L5,452.6207393232291,419.98599142000216,436.0805369645149,509.7849022208907,497.57737871806825,570.299020937614,549.6957641790397,533.8056674236276,502.9445908370724,503.00300599161886
9,1996-02-07 15:21:03+00:00,L5,509.27782916728654,436.8430560943986,451.10168049747244,544.4629153930271,535.1120037976623,589.6822269837647,577.16120870548,564.8934664049182,558.1654150042984,535.3373671814236
10,1996-02-23 15:22:08+00:00,L5,500.041953697602,425.7309316917218,443.02862235754765,523.7249197624815,519.626561628,574.8549964890985,569.5243957159348,541.8179500974618,526.4919314780005,520.255565608309
11,1996-04-11 15:25:13+00:00,L5,475.6434227035134,404.14742683689036,436.83230839719954,506.75177721404265,500.29366573550044,559.7300351666447,547.2555995270327,519.4552233301157,507.3278424667858,504.4350377478914
12,1996-11-21 15:37:13+00:00,L5,473.06433590098436,424.4264647052492,439.4483733952979,506.7819422608834,505.13304392200513,575.2545004626443,553.1641098666801,529.2558231856792,507.2291077856765,506.57779596122293
13,1997-01-24 15:40:15+00:00,L5,500.90428169836605,436.6727265066024,460.68186480195925,532.7671551678102,528.5245191272719,571.8251923618592,562.7693493012039,536.5730871694772,529.210832273738,535.339965855668
14,1997-07-03 15:46:12+00:00,L5,483.36008175749527,413.29860483238264,458.11808155154824,507.3590452861586,513.5051825949878,572.5835193220042,551.8898170810529,530.575164712695,518.7664577382823,510.07854551765803
15,1997-08-20 15:47:48+00:00,L5,493.19902759228086,441.35709951764807,463.75847631875297,532.7086661692558,522.096805953243,590.1037399805784,567.1979785941738,538.6861971485148,522.1623834558419,516.1639987783645
16,1997-09-05 15:48:16+00:00,L5,468.2630965252992,401.2454483637007,433.6514566892307,521.0823084173983,510.30235815180816,571.461008427424,553.4205615856882,530.7405519034332,511.42752748594313,510.16292185994723
17,1997-09-21 15:48:43+00:00,L5,460.8635180471449,410.0496974073956,439.1450041231392,509.7307483499759,500.1736690415648,561.9855215469042,543.168891050386,535.3615961474354,513.3282816532286,502.66000431852166
