date,Hs_max,Tp,MeanDir
2000-05-16,2.0271864,15.313332,180.21654
2000-05-17,2.0683594,18.368996,189.02116
2000-05-18,2.3874512,16.189308,197.38382
2000-05-19,2.5648193,16.283546,197.89326
2000-05-20,2.748169,16.212746,193.04738
2000-05-21,2.7781982,16.239601,192.14912
2000-05-22,2.5158691,15.445656,195.69781
2000-05-23,2.1177979,13.77964,191.3181
2000-05-24,1.8045654,12.840187,190.01213
2000-05-25,1.631958,11.782082,184.57385
2000-05-26,1.7382812,11.528664,183.01187
2000-05-27,1.765625,12.385597,185.43895
2000-05-28,1.7131348,12.0735855,185.16388
2000-05-29,1.9918213,13.677589,197.16406
2000-05-30,2.0059814,13.374855,198.36372
2000-05-31,1.8775635,18.000832,197.85188
2000-06-01,2.3531494,15.843605,203.98967
2000-06-02,2.3742676,15.559425,204.13394
2000-06-03,2.1889648,14.606789,198.27728
2000-06-04,2.0263672,15.7923355,192.40921
2000-06-05,2.0627441,15.789894,191.30685
2000-06-06,2.0092773,15.339699,188.55377
2000-06-07,2.7333984,15.036964,187.79181
2000-06-08,2.7285156,14.990578,187.73561
2000-06-09,2.230835,13.973976,183.02832
2000-06-10,1.8438711,12.159035,173.08273
2000-06-11,1.7840099,9.138527,170.0242
2000-06-12,1.6182861,13.613625,170.75354
2000-06-13,1.548584,7.7352066,170.29163
2000-06-14,1.6315918,7.867531,171.17143
2000-06-15,1.6636963,13.271339,172.14476
2000-06-16,1.6999512,8.034035,171.68092
2000-06-17,1.8059082,16.001808,170.15823
2000-06-18,2.0993652,10.181496,170.71953
2000-06-19,2.1116943,10.189796,170.25145
2000-06-20,2.0570679,10.363136,170.16518
2000-06-21,1.8596191,10.009621,171.65436
2000-06-22,1.6817627,15.176125,176.69717
2000-06-23,1.5609131,13.5457535,194.71568
2000-06-24,1.9848633,13.227394,194.29936
2000-06-25,2.0428467,13.179054,191.45528
2000-06-26,2.2231445,19.281593,181.51256
2000-06-27,2.3846436,17.396828,188.18056
2000-06-28,2.3502197,17.21177,189.19328
2000-06-29,2.255249,15.288918,180.77441
2000-06-30,2.2488375,15.48008,183.1072
2000-07-01,2.2036133,14.655861,184.94661
2000-07-02,2.064331,13.505226,174.76627
2000-07-06,1.6088867,15.025246,174.31161
2000-07-07,1.6954346,13.8563,181.61125
2000-07-08,1.7272949,13.264992,181.7637
2000-07-09,1.7834473,12.278908,172.26994
2000-07-10,1.7607422,12.21714,172.39084
2000-07-14,2.0743952,10.298195,170.43335
2000-07-15,2.0321045,13.609718,180.74438
2000-07-16,2.0404053,13.65757,180.6892
2000-07-17,2.0064697,13.673683,184.50827
2000-07-18,1.8122559,17.026222,180.92436
2000-07-19,2.1036377,14.841652,181.63702
2000-07-20,2.1009521,14.792824,181.56459
2000-07-21,1.9338379,8.493996,174.95935
2000-07-22,1.9343262,16.008644,176.52576
2000-07-23,1.9324951,14.753761,178.7658
2000-07-24,2.0668945,15.783546,175.03177
2000-07-25,2.22937,14.336281,175.95163
2000-07-26,2.3320312,16.20005,190.78804
2000-07-27,2.3372555,16.006203,193.5374
2000-07-28,2.282959,18.406105,200.17696
2000-07-29,3.0708456,17.330421,201.26608
2000-07-30,2.9936523,16.607277,200.64992
2000-07-31,2.1523438,14.434425,195.115
2000-08-01,1.7353144,13.04966,189.53944
2000-08-02,1.55896,12.396828,181.83974
2000-08-03,1.6156006,13.596535,183.2527
2000-08-04,1.6577148,13.380714,186.58041
2000-08-05,1.6036377,11.469093,184.91307
2000-08-06,2.0020752,14.565041,184.36737
2000-08-07,2.0314941,14.163918,184.31741
2000-08-08,1.9837646,12.920265,181.54729
2000-08-09,1.8510742,16.956886,198.67259
2000-08-10,2.2692032,15.590187,204.83287
