peak_datetime,Hs_offshore (m),Tp (s),Dir (deg),Hs_nearshore (m),R2_A1,R2_A2,R2_B1,R2_B2,R2_B3,R2_B4,R2_B5,R2_B6,R2_C1,R2_C2,setup_A1,setup_A2,setup_B1,setup_B2,setup_B3,setup_B4,setup_B5,setup_B6,setup_C1,setup_C2,S_total_A1,S_total_A2,S_total_B1,S_total_B2,S_total_B3,S_total_B4,S_total_B5,S_total_B6,S_total_C1,S_total_C2
1990-01-17 03:00:00,1.5181884765625,13.439796447753906,239.40733337402344,0.49505232239191677,0.7409717,0.67062736,0.6369083,0.67062736,0.67062736,0.6369083,0.60425556,0.67062736,0.8147181,0.6369083,0.22745398,0.18609871,0.16542108,0.18609871,0.18609871,0.16542108,0.14474344,0.18609871,0.26880926,0.16542108,0.8603294,0.8134091,0.7926274,0.8134091,0.8134091,0.7926274,0.7738272,0.8134091,0.91345793,0.7926274
1990-01-18 00:00:00,1.4190673828125,12.945655822753906,227.5087127685547,0.5748019426011497,0.76907116,0.6960592,0.66106147,0.6960592,0.6960592,0.66106147,0.62717044,0.6960592,0.84561425,0.66106147,0.2360796,0.19315605,0.17169426,0.19315605,0.19315605,0.17169426,0.15023248,0.19315605,0.27900317,0.17169426,0.89295524,0.8442556,0.8226858,0.8442556,0.8442556,0.8226858,0.8031727,0.8442556,0.94809854,0.8226858
1990-01-19 23:00:00,1.421630859375,15.117530822753906,232.37095642089844,0.5001612273523527,0.83775926,0.7582264,0.72010285,0.7582264,0.7582264,0.72010285,0.6831849,0.7582264,0.92113864,0.72010285,0.2571646,0.21040739,0.1870288,0.21040739,0.21040739,0.1870288,0.1636502,0.21040739,0.3039218,0.1870288,0.97270775,0.91965866,0.8961624,0.91965866,0.91965866,0.8961624,0.8749065,0.91965866,1.0327761,0.8961624
1990-01-20 23:00:00,1.570068359375,14.670753479003906,226.08631896972656,0.7132443247826096,0.9708563,0.87868786,0.83450747,0.87868786,0.87868786,0.83450747,0.7917243,0.87868786,1.0674824,0.83450747,0.29802102,0.24383537,0.21674256,0.24383537,0.24383537,0.21674256,0.18964973,0.24383537,0.35220665,0.21674256,1.1272445,1.0657673,1.0385381,1.0657673,1.0657673,1.0385381,1.0139052,1.0657673,1.1968559,1.0385381
1990-01-21 23:00:00,1.760009765625,13.570655822753906,202.12608337402344,1.3124835038190463,1.2182351,1.1025817,1.047144,1.1025817,1.1025817,1.047144,0.9934595,1.1025817,1.3394821,1.047144,0.3739582,0.3059658,0.27196962,0.3059658,0.3059658,0.27196962,0.2379734,0.3059658,0.44195062,0.27196962,1.4144717,1.3373299,1.3031626,1.3373299,1.3373299,1.3031626,1.2722532,1.3373299,1.5018207,1.3031626
1990-01-22 09:00:00,1.78564453125,13.316261291503906,196.6999053955078,1.3170839800693623,1.1974914,1.0838073,1.0293136,1.0838073,1.0838073,1.0293136,0.9765432,1.0838073,1.3166738,1.0293136,0.36759055,0.30075592,0.26733857,0.30075592,0.30075592,0.26733857,0.23392126,0.30075592,0.4344252,0.26733857,1.3903866,1.3145583,1.2809727,1.3145583,1.3145583,1.2809727,1.2505896,1.3145583,1.476248,1.2809727
1990-01-23 00:00:00,1.7266845703125,12.993019104003906,194.60533142089844,1.2584207665298996,1.1421059,1.0336798,0.9817065,1.0336798,1.0336798,0.9817065,0.9313768,1.0336798,1.2557759,0.9817065,0.35058904,0.28684556,0.25497383,0.28684556,0.28684556,0.25497383,0.22310211,0.28684556,0.41433248,0.25497383,1.3260794,1.2537582,1.2217261,1.2537582,1.2537582,1.2217261,1.1927482,1.2537582,1.4079697,1.2217261
1990-01-24 00:00:00,1.5682373046875,12.373878479003906,197.5144500732422,1.1132639039565926,1.0230298,0.9259082,0.87935364,0.9259082,0.9259082,0.87935364,0.8342713,0.9259082,1.1248485,0.87935364,0.31403655,0.256939,0.22839023,0.256939,0.256939,0.22839023,0.19984145,0.256939,0.37113413,0.22839023,1.1878221,1.1230413,1.0943487,1.1230413,1.1230413,1.0943487,1.0683922,1.1230413,1.2611746,1.0943487
1990-01-25 23:00:00,1.8519287109375,16.512062072753906,222.84249877929688,1.0339617733009452,1.3156395,1.190739,1.1308688,1.190739,1.190739,1.1308688,1.072892,1.190739,1.4465808,1.1308688,0.40385816,0.3304294,0.29371503,0.3304294,0.3304294,0.29371503,0.25700065,0.3304294,0.4772869,0.29371503,1.5275663,1.4442565,1.4073573,1.4442565,1.4442565,1.4073573,1.3739765,1.4442565,1.6218991,1.4073573
1990-01-26 23:00:00,2.1923828125,15.037452697753906,235.25921630859375,0.66459848733195,0.96058834,0.8693947,0.82568157,0.8693947,0.8693947,0.82568157,0.78335094,0.8693947,1.0561925,0.82568157,0.2948691,0.24125654,0.21445026,0.24125654,0.24125654,0.21445026,0.18764396,0.24125654,0.34848166,0.21445026,1.1153225,1.0544955,1.0275543,1.0544955,1.0544955,1.0275543,1.0031819,1.0544955,1.1841978,1.0275543
1990-01-27 03:00:00,2.1982421875,17.731300354003906,237.40345764160156,0.7329078026611335,1.1894567,1.0765353,1.0224073,1.0765353,1.0765353,1.0224073,0.9699909,1.0765353,1.3078393,1.0224073,0.36512417,0.29873794,0.26554483,0.29873794,0.29873794,0.26554483,0.23235174,0.29873794,0.43151036,0.26554483,1.3810575,1.305738,1.2723778,1.305738,1.305738,1.2723778,1.2421986,1.305738,1.4663429,1.2723778
1990-01-29 00:00:00,1.868408203125,15.759620666503906,239.68911743164062,0.6185233231369006,0.97119665,0.8789959,0.8348,0.8789959,0.8789959,0.8348,0.7920019,0.8789959,1.0678566,0.8348,0.29812548,0.24392085,0.21681854,0.24392085,0.24392085,0.21681854,0.18971622,0.24392085,0.35233012,0.21681854,1.1276395,1.0661409,1.0389022,1.0661409,1.0661409,1.0389022,1.0142606,1.0661409,1.1972755,1.0389022
1990-01-30 00:00:00,1.6444816589355469,14.461280822753906,211.75,1.2404117267956196,1.2620398,1.1422278,1.0847967,1.1422278,1.1422278,1.0847967,1.0291818,1.1422278,1.3876464,1.0847967,0.3874048,0.31696755,0.28174895,0.31696755,0.31696755,0.28174895,0.24653032,0.31696755,0.45784202,0.28174895,1.4653326,1.3854169,1.350021,1.3854169,1.3854169,1.350021,1.3180001,1.3854169,1.5558223,1.350021
1990-01-31 00:00:00,1.467529296875,13.245460510253906,195.13462829589844,1.0877008077676338,1.0824434,0.9796813,0.930423,0.9796813,0.9796813,0.930423,0.8827225,0.9796813,1.1901753,0.930423,0.33227456,0.27186102,0.24165423,0.27186102,0.27186102,0.24165423,0.21144745,0.27186102,0.39268813,0.24165423,1.2568061,1.188263,1.1579041,1.188263,1.188263,1.1579041,1.1304401,1.188263,1.3344187,1.1579041
1990-02-01 00:00:00,1.4012451171875,12.084815979003906,188.4119110107422,1.0301506793047999,0.96111155,0.8698682,0.8261313,0.8698682,0.8698682,0.8261313,0.7837776,0.8698682,1.0567677,0.8261313,0.2950297,0.24138793,0.21456705,0.24138793,0.24138793,0.21456705,0.18774617,0.24138793,0.34867144,0.21456705,1.11593,1.0550698,1.028114,1.0550698,1.0550698,1.028114,1.0037283,1.0550698,1.1848427,1.028114
1990-02-02 00:00:00,1.313232421875,11.095069885253906,185.83152770996094,0.9513489387088079,0.84797555,0.7674728,0.72888434,0.7674728,0.7674728,0.72888434,0.6915162,0.7674728,0.93237174,0.72888434,0.26030067,0.21297327,0.18930957,0.21297327,0.21297327,0.18930957,0.16564587,0.21297327,0.30762804,0.18930957,0.9845697,0.9308737,0.90709084,0.9308737,0.9308737,0.90709084,0.8855758,0.9308737,1.0453706,0.90709084
1990-02-03 23:00:00,1.35595703125,16.437355041503906,191.05323791503906,1.1677555293599526,1.3918463,1.259711,1.1963729,1.259711,1.259711,1.1963729,1.1350378,1.259711,1.5303721,1.1963729,0.42725113,0.34956908,0.31072807,0.34956908,0.34956908,0.31072807,0.27188706,0.34956908,0.5049331,0.31072807,1.6160486,1.5279132,1.4888767,1.5279132,1.5279132,1.4888767,1.4535624,1.5279132,1.7158456,1.4888767
1990-02-04 23:00:00,1.5556602478027344,15.436866760253906,211.3295440673828,1.2223104149282393,1.3373137,1.2103555,1.1494989,1.2103555,1.2103555,1.1494989,1.090567,1.2103555,1.470412,1.1494989,0.4105114,0.33587295,0.29855374,0.33587295,0.33587295,0.29855374,0.26123452,0.33587295,0.48514983,0.29855374,1.5527318,1.4680495,1.4305425,1.4680495,1.4680495,1.4305425,1.3966117,1.4680495,1.6486187,1.4305425
1990-02-05 17:00:00,1.620849609375,14.565284729003906,215.10401916503906,1.1528318130278354,1.2254211,1.1090854,1.0533206,1.1090854,1.1090854,1.0533206,0.9993195,1.1090854,1.347383,1.0533206,0.37616402,0.30777058,0.27357385,0.30777058,0.30777058,0.27357385,0.23937711,0.30777058,0.4445575,0.27357385,1.4228151,1.3452182,1.3108493,1.3452182,1.3452182,1.3108493,1.2797576,1.3452182,1.5106792,1.3108493
1990-02-06 23:00:00,1.631591796875,13.168800354003906,219.81362915039062,0.9250615741821702,0.9924643,0.8982445,0.85308087,0.8982445,0.8982445,0.85308087,0.8093455,0.8982445,1.091241,0.85308087,0.30465397,0.24926233,0.22156653,0.24926233,0.24926233,0.22156653,0.19387071,0.24926233,0.3600456,0.22156653,1.1523331,1.0894877,1.0616524,1.0894877,1.0894877,1.0616524,1.0364714,1.0894877,1.2234939,1.0616524
1990-02-07 13:00:00,1.734130859375,12.440773010253906,239.3992919921875,0.5236682006975456,0.70543796,0.6384671,0.606365,0.6384671,0.6384671,0.606365,0.57527816,0.6384671,0.7756479,0.606365,0.2165463,0.17717424,0.15748821,0.17717424,0.17717424,0.15748821,0.1378022,0.17717424,0.25591835,0.15748821,0.8190718,0.7744016,0.7546165,0.7744016,0.7744016,0.7546165,0.7367179,0.7744016,0.86965257,0.7546165
1990-02-08 23:00:00,1.7906494140625,15.023780822753906,234.9691162109375,0.5735950136479817,0.89159024,0.80694693,0.7663737,0.80694693,0.80694693,0.7663737,0.72708356,0.80694693,0.9803272,0.7663737,0.2736889,0.2239273,0.1990465,0.2239273,0.2239273,0.1990465,0.17416568,0.2239273,0.32345054,0.1990465,1.0352099,0.97875214,0.953746,0.97875214,0.97875214,0.953746,0.9311243,0.97875214,1.099138,0.953746
1990-02-09 23:00:00,1.8458251953125,14.402687072753906,216.32522583007812,1.2414867203266722,1.2574708,1.1380926,1.0808694,1.1380926,1.1380926,1.0808694,1.0254558,1.1380926,1.3826227,1.0808694,0.38600227,0.31582004,0.28072894,0.31582004,0.31582004,0.28072894,0.24563782,0.31582004,0.4561845,0.28072894,1.4600277,1.3804013,1.3451335,1.3804013,1.3804013,1.3451335,1.3132286,1.3804013,1.5501897,1.3451335
